Genre,Compositeur,Titre,Période,Formation,Remarque
Clavier,Granato D.,Toccata brève,Moderne,Orgue,
Musique d'ensemble,Sampson D.,The Mysteries Remain,Contemporain,Chant et orgue,
Clavier,Scarlatti D.,Sonate en sol majeur K. 328,Baroque,Orgue,
Clavier,Scarlatti D.,Sonate en ré majeur K. 287,Baroque,Orgue,
Clavier,Scarlatti D.,Sonate en ré majeur K. 288,Baroque,Orgue,
Motet,Scarlatti D.,Iste confessor,Baroque,Chœur et orgue,
Clavier,Zipoli D.,Diverses pièces,Baroque,Orgue,
Motet,Di Lasso O.,"Adoramus te, Christe",Renaissance,Chœur et instruments,
Motet,Di Lasso O.,Agimus tibi gratias,Renaissance,Chœur et instruments,
Motet,Di Lasso O.,"Alleluia, laus et gloria",Renaissance,Chœur et instruments,
Motet,Di Lasso O.,Ad te perenne gaudium,Renaissance,Chœur et instruments,
Motet,Di Lasso O.,Anima mea liquefacta est,Renaissance,Chœur et instruments,
Motet,Di Lasso O.,Animam meam dilectam,Renaissance,Chœur et instruments,
Clavier,Batiste E.,Diverses pièces,Romantique,Orgue,
Clavier,Bossi E.,Scherzo en sol mineur op.49/2,Romantique,Orgue,
Motet,Elgar E.,Ave verum,Romantique,Chœur et orgue,
Clavier,Elgar E.,Vesper Voluntaries op.14/3,Romantique,Orgue,
Motet,Gillioz E.,Gloria,Contemporain,Chœur a capella,
Motet,Anerio F.,Beatus vir,Renaissance,Chœur a capella,
Motet,Couperin F.,"Jubilemus, exultemus",Baroque,Chœur et instruments,
Clavier,Couperin F.,Messe solennelle à l'usage des paroisses,Baroque,Orgue,
Clavier,Couperin F.,Messe à l'usage des couvents,Baroque,Orgue,
Musique d'ensemble,Geminiani F.,Sonate no2 en ré mineur op.5,Baroque,Violoncelle et orgue,
Motet,Guerrero F.,Rorate caeli,Renaissance,Chœur a capella,
Musique d'ensemble,Kreisler F.,Prélude et Allegro,Moderne,Violon et orgue,
Clavier,Liszt F.,Pio IX (Papsthymnus),Romantique,Orgue,
Clavier,Liszt F.,Ein feste Burg ist unser Gott,Romantique,Orgue,
Motet,Mendelssohn F.,Verleih uns Frieden,Romantique,Chœur et instruments,
Clavier,Mendelssohn F.,Sonate pour orgue en la majeur op.65/3,Romantique,Orgue,
Clavier,Mendelssohn F.,Sonate pour orgue en si bémol majeur op.65/4,Romantique,Orgue,
Clavier,Mendelssohn F.,Sonate pour orgue en ré mineur op.65/6,Romantique,Orgue,
Clavier,Mendelssohn F.,Prélude et Fugue en do mineur op. 37/1,Baroque,Orgue,
Clavier,Mendelssohn F.,Prélude et Fugue en sol majeur op. 37/2,Romantique,Orgue,
Motet,Mendelssohn F.,Zum Abendsegen,Romantique,Chœur a capella,
Musique d'ensemble,Schubert F.,Ave Maria,Romantique,Chant et orgue,
Motet,Schubert F.,Chor der Engel,Romantique,Chœur a capella,
Motet,Soriano F.,Alma Redemptoris Mater,Renaissance,Chœur a capella,
Motet,Soriano F.,Ave Regina coelorum,Renaissance,Chœur a capella,
Cantate,Tunder F.,Dominus Illuminatio mea,Baroque,Chœur et instruments,
Clavier,Tunder F.,"Jesus Christus, unser Heiland",Baroque,Orgue,
Clavier,De Arauxo F.C.,Tres glosas,Baroque,Orgue,
Motet,Aichinger G.,Regina caeli,Renaissance,Chœur a capella,
Motet,Battistini G.,Gaudeamus omnes,Renaissance,Chœur a capella,
Clavier,Böhm G.,Prélude et Fugue en do majeur,Baroque,Orgue,
Clavier,Böhm G.,Vater unser im Himmelreich,Baroque,Orgue,
